region1,region,service,time,elos_achievable,elos,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Karori,Karori,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Newtown,Newtown,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Miramar,Miramar,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Karori,Karori,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Newtown,Newtown,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Miramar,Miramar,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,telecommunications,3,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Karori,Karori,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Newtown,Newtown,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Miramar,Miramar,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,telecommunications,4,1,Access mobile data for almost normal data capability.,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Karori,Karori,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Newtown,Newtown,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Miramar,Miramar,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,telecommunications,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Karori,Karori,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Newtown,Newtown,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Miramar,Miramar,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,broadcast,0,1,Full service,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Karori,Karori,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Newtown,Newtown,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Miramar,Miramar,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,broadcast,1,2,FM radio – Priority Stations : fully operational ,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Porirua East,Tawa,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Karori,Karori,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Newtown,Newtown,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Miramar,Miramar,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,broadcast,2,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,broadcast,3,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,broadcast,3,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,broadcast,3,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,broadcast,3,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Porirua East,Tawa,broadcast,3,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,broadcast,3,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,broadcast,3,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,broadcast,3,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Karori,Karori,broadcast,3,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,broadcast,3,1,"Fully functional for priority radio stations, no TV",,,,,,,,,,,,,,,,,,
